custnum,saledate,Equipsales
222356,2018-03-01,240260
152138,2017-05-01,157024
148218,2018-05-01,87966
142752,2018-04-01,76611.3
235185,2016-07-01,174140.06
180130,2018-12-01,1965501.56
122908,2017-12-01,312490
120766,2015-08-01,90819.69
125859,2015-06-01,100265
126031,2016-05-01,139978.44
161811,2018-02-01,220240
123368,2015-08-01,91147
155182,2017-08-01,377646
168439,2017-11-01,437922
220379,2015-02-01,115925
243759,2018-06-01,214901
168439,2017-10-01,141160
168439,2017-01-01,193703
225392,2017-06-01,90468
160852,2017-09-01,77560
144782,2018-06-01,185927
230559,2018-01-01,97091
142622,2016-02-01,159254
155232,2018-08-01,157186.14
223137,2018-06-01,678136
230559,2017-05-01,91188
700700,2017-12-01,237880.17
600680,2018-02-01,248104.28
229799,2017-06-01,346553.11
222063,2015-08-01,209402
241449,2018-12-01,102032
171837,2016-11-01,165492.31
243427,2018-05-01,114208.12
132893,2015-06-01,175680
144782,2016-04-01,105202
140785,2018-08-01,137580
235348,2017-07-01,167872.75
234122,2017-07-01,126649
100803,2015-07-01,362068.65
223316,2016-05-01,163909
162132,2018-02-01,101884
138103,2016-04-01,125794
141617,2017-07-01,77061.38
105642,2016-05-01,412972.58
256519,2015-08-01,707644.75
224525,2016-07-01,187607
229799,2018-04-01,77801.72
100803,2017-11-01,238618.55
172189,2017-03-01,75291
155253,2015-09-01,81003.49
236265,2018-06-01,96802.02
134361,2018-05-01,75352
152138,2018-04-01,116398
161122,2015-12-01,391932.77
122908,2016-09-01,89450
144109,2015-03-01,651505
182381,2018-06-01,159279.4
254224,2016-04-01,77930
106779,2018-12-01,224531
109969,2016-12-01,190139.12
243231,2017-03-01,108345
146351,2016-08-01,420203.34
255170,2018-04-01,200751
126377,2016-04-01,89530.1
142752,2017-06-01,127516.09
231820,2018-04-01,145399
256382,2018-04-01,1165210
148507,2017-06-01,152057.5
161607,2018-07-01,100701.7
238983,2018-12-01,82999
154785,2019-01-01,284253
132565,2015-06-01,88428.6
168450,2017-08-01,96602
243733,2015-08-01,326308
149743,2016-06-01,346112.9
144572,2017-04-01,189810
139989,2016-02-01,85481
146773,2018-05-01,128880
137278,2015-04-01,150436
226821,2016-06-01,97474.43
142622,2015-11-01,460455
234122,2016-01-01,98819.39
234122,2016-10-01,134958
102795,2017-09-01,92474
147624,2016-11-01,1878038.9
180830,2017-06-01,80385
151142,2018-10-01,172892.51
151142,2018-01-01,102925
256259,2016-09-01,937838.21
254106,2016-05-01,97241
161607,2017-06-01,80251
150473,2016-02-01,86887
256259,2017-12-01,572587.05
165408,2018-07-01,215440.6
172735,2018-11-01,115996.92
172171,2015-09-01,402028
154555,2015-08-01,85509
102795,2017-10-01,87265.48
183594,2018-07-01,278577.44
127441,2018-03-01,112354
170782,2017-07-01,92121
159936,2015-03-01,82014
169264,2017-07-01,145072
122908,2017-04-01,136268
187137,2018-12-01,136176
248018,2018-11-01,78767
109874,2018-07-01,359113.64
223740,2018-08-01,228673
152937,2017-08-01,112976.67
243733,2016-12-01,272156
124540,2018-09-01,82794
400400,2015-07-01,15774070.94
139989,2017-06-01,146747
235348,2018-04-01,91197
153266,2016-03-01,90035.83
125859,2017-06-01,82971
167184,2016-07-01,82080
256382,2018-12-01,1073205
149743,2015-03-01,137837
169572,2016-09-01,96302
142622,2015-10-01,228609
142622,2015-01-01,371957
149743,2017-02-01,150860
248606,2016-09-01,302721.6
244770,2015-12-01,119532
700700,2016-02-01,126421
222172,2017-01-01,206181
100056,2018-06-01,201532
152663,2017-12-01,237838
155182,2018-09-01,183042
132544,2018-01-01,78926
123822,2018-11-01,105150
171782,2018-08-01,154528.89
250549,2019-01-01,213631
151142,2018-11-01,97191.75
155232,2016-11-01,117513
165909,2016-07-01,94081
168153,2017-07-01,85193
163654,2018-03-01,89194
233839,2017-08-01,187072
249972,2015-11-01,123125
222172,2017-09-01,154641
155006,2016-11-01,369801
155253,2015-11-01,76326.5
172241,2015-08-01,105512
248018,2018-03-01,84160
134939,2018-03-01,224709
162454,2017-03-01,187689.8
162455,2017-11-01,197304
240822,2017-06-01,97429
255962,2018-09-01,1061648.68
107963,2015-10-01,101912
172419,2016-07-01,192472
141966,2016-02-01,77802
130682,2018-08-01,1705910
171456,2015-04-01,94786
159834,2016-11-01,448434.34
229799,2016-09-01,86811.97
133357,2015-06-01,140471
168829,2018-05-01,125789
229854,2016-12-01,116007
245837,2015-05-01,110618
140061,2015-03-01,92020.85
162454,2015-02-01,209855
120310,2017-01-01,508076
120310,2017-10-01,774909
185008,2018-06-01,99402.56
172534,2016-07-01,369985.4
223662,2016-08-01,158710
144210,2016-03-01,84129
128874,2015-09-01,362281
237217,2015-06-01,401091.75
171265,2018-06-01,76235
256382,2015-05-01,743499
147624,2017-04-01,788929.55
123887,2016-03-01,75865
107246,2018-09-01,289639.56
172419,2018-09-01,112043.96
126264,2018-03-01,143071
184631,2018-05-01,99339
