custnum,saledate,Equipsales
109330,8/1/2017,35639
109330,9/1/2017,21633
109330,10/1/2017,26391.86
109330,11/1/2017,11284
109330,12/1/2017,12688
109330,1/1/2018,35457
109330,2/1/2018,25755
109330,3/1/2018,41118
109330,4/1/2018,15463
109330,5/1/2018,41286
109330,6/1/2018,29433
109330,7/1/2018,35122
109330,8/1/2018,22153
109330,9/1/2018,13112
109330,10/1/2018,32931.75
109330,11/1/2018,13593
109330,12/1/2018,7315
109330,1/1/2019,14988
120253,1/1/2014,9422
120253,2/1/2014,2296
120253,3/1/2014,24951
120253,4/1/2014,19827
120253,5/1/2014,24597
120253,6/1/2014,22621
120253,7/1/2014,51124
120253,8/1/2014,4851
120253,9/1/2014,32466
120253,10/1/2014,53137
120253,11/1/2014,19226
120253,12/1/2014,9839
120253,1/1/2015,8863
120253,2/1/2015,6922
120253,3/1/2015,77218
120253,4/1/2015,23326
120253,5/1/2015,16199
120253,6/1/2015,55612
120253,7/1/2015,64534
120253,8/1/2015,13113
120253,9/1/2015,2651
120253,10/1/2015,11644
120253,11/1/2015,13939
120253,12/1/2015,116821
120253,1/1/2016,26872
120253,2/1/2016,6157
120253,3/1/2016,13116
120253,4/1/2016,55988
120253,5/1/2016,15158
120253,6/1/2016,28768
120253,7/1/2016,19194
120253,8/1/2016,27142
120253,9/1/2016,11621
120253,10/1/2016,12218
120253,11/1/2016,38726
120253,12/1/2016,12831
120253,1/1/2017,21519
120253,2/1/2017,8729
120253,3/1/2017,37557.42
120253,4/1/2017,11449
120253,5/1/2017,64119.93
120253,6/1/2017,28816
120253,7/1/2017,67421.24
120253,8/1/2017,64924
120253,9/1/2017,54214
120253,10/1/2017,46812
120253,11/1/2017,27129
120253,12/1/2017,22851
120253,1/1/2018,42714
120253,2/1/2018,15683
120253,3/1/2018,17533
120253,4/1/2018,32292
120253,5/1/2018,61471
120253,6/1/2018,74831.13
120253,7/1/2018,31531
120253,8/1/2018,51611
120253,9/1/2018,38113
120253,10/1/2018,41734
120253,11/1/2018,12581
120253,12/1/2018,8125
120253,1/1/2019,16592
120715,1/1/2014,111625
120715,2/1/2014,16792
120715,3/1/2014,57966.1
120715,4/1/2014,75972.88
120715,5/1/2014,16129
120715,6/1/2014,11828.3
120715,7/1/2014,117117
120715,8/1/2014,7351
120715,9/1/2014,8445
120715,10/1/2014,47751.8
120715,11/1/2014,31319
120715,12/1/2014,11838.8
120715,1/1/2015,11817.66
120715,2/1/2015,49948
120715,3/1/2015,85697
120715,4/1/2015,9524
120715,5/1/2015,13572.5
120715,6/1/2015,17687
120715,7/1/2015,63277
120715,8/1/2015,21133
120715,9/1/2015,39741.2
120715,10/1/2015,249915.8
120715,11/1/2015,16237
120715,12/1/2015,118112.6
120715,1/1/2016,71822.4
120715,2/1/2016,61437
120715,3/1/2016,75114
120715,4/1/2016,12348
120715,5/1/2016,112166
120715,6/1/2016,64272
120715,7/1/2016,51751
120715,8/1/2016,18198
120715,9/1/2016,61827
120715,10/1/2016,13157
120715,11/1/2016,63111
120715,12/1/2016,86818
120715,1/1/2017,17518
120715,2/1/2017,21992
120715,3/1/2017,122519
120715,4/1/2017,14713
120715,5/1/2017,138544
120715,6/1/2017,62639.5
120715,7/1/2017,116163
120715,8/1/2017,24533.34
120715,9/1/2017,181681.66
120715,10/1/2017,23311
120715,11/1/2017,24519
120715,12/1/2017,31148
120715,1/1/2018,31392
120715,2/1/2018,12618
120715,3/1/2018,148611
120715,4/1/2018,81296
120715,5/1/2018,46956
120715,6/1/2018,144257
120715,7/1/2018,122191
120715,8/1/2018,86959
120715,9/1/2018,24499
120715,10/1/2018,55268
120715,11/1/2018,63239
120715,12/1/2018,84383
120715,1/1/2019,45556
120725,1/1/2014,3582
120725,2/1/2014,2271
120725,3/1/2014,4663
120725,4/1/2014,7881
120725,5/1/2014,12117
120725,6/1/2014,5498
120725,7/1/2014,6188
120725,8/1/2014,12117
120725,9/1/2014,11338
120725,10/1/2014,765
120725,11/1/2014,5125
120725,12/1/2014,14914
120725,1/1/2015,17111
120725,2/1/2015,3436
120725,3/1/2015,7217.7
120725,4/1/2015,6756.5
120725,5/1/2015,3854.55
120725,6/1/2015,11788.9
120725,7/1/2015,9343.85
120725,8/1/2015,7414
120725,9/1/2015,13513.4
120725,10/1/2015,3916.3
120725,11/1/2015,4618
120725,12/1/2015,2166.1
120725,1/1/2016,8919.25
120725,2/1/2016,4278.25
120725,3/1/2016,15898.25
120725,4/1/2016,2217
120725,5/1/2016,5119
120725,6/1/2016,11448
120725,7/1/2016,7615
120725,8/1/2016,5663
120725,9/1/2016,9153
120725,10/1/2016,5132
120725,11/1/2016,5811
120725,12/1/2016,1133
